사용단어	가중치	사용횟수	단어승률
가게	91	100	0.91
가격	100	100	1.0
가구	89	100	0.89
가까이	90	100	0.9
가난	100	100	1.0
가능	44	100	0.44
가능성	76	100	0.76
가로	42	100	0.42
가로등	84	100	0.84
가로수	89	100	0.89
가루	100	100	1.0
가르침	74	100	0.74
가뭄	100	100	1.0
가방	91	100	0.91
가사	72	100	0.72
가상	90	100	0.9
가수	97	100	0.97
가스	80	100	0.8
가슴	100	100	1.0
가슴속	96	100	0.96
가요	93	100	0.93
가운데	100	100	1.0
가위	71	100	0.71
가을	100	100	1.0
가이드	100	100	1.0
가입	78	100	0.78
가입자	85	100	0.85
가장	79	100	0.79
가정	100	100	1.0
가정교사	69	100	0.69
가족	100	100	1.0
가죽	100	100	1.0
가지	88	100	0.88
가짜	98	100	0.98
가치	75	100	0.75
가치관	77	100	0.77
가톨릭	100	100	1.0
각각	100	100	1.0
각국	90	100	0.9
각오	79	100	0.79
각자	81	100	0.81
각종	80	100	0.8
간격	100	100	1.0
간부	92	100	0.92
간섭	100	100	1.0
간식	83	100	0.83
간장	83	100	0.83
간접	51	100	0.51
간접적	76	100	0.76
간판	100	100	1.0
간호	81	100	0.81
간호사	80	100	0.8
갈등	83	100	0.83
갈비	77	100	0.77
갈비탕	100	100	1.0
갈색	52	100	0.52
갈증	96	100	0.96
감각	97	100	0.97
감기	84	100	0.84
감독	91	100	0.91
감동	89	100	0.89
감동적	85	100	0.85
감사	80	100	0.8
감상	90	100	0.9
감소	93	100	0.93
감수성	82	100	0.82
감옥	100	100	1.0
감자	86	100	0.86
감정	99	100	0.99
감정적	83	100	0.83
강남	88	100	0.88
강당	100	100	1.0
강도	87	100	0.87
강물	91	100	0.91
강변	100	100	1.0
강북	67	100	0.67
강사	83	100	0.83
강수량	100	100	1.0
강아지	88	100	0.88
강원도	84	100	0.84
강의	93	100	0.93
강제	100	100	1.0
강조	86	100	0.86
갖가지	92	100	0.92
개개인	84	100	0.84
개구리	46	100	0.46
개나리	52	100	0.52
개미	80	100	0.8
개방	89	100	0.89
개별	100	100	1.0
개선	89	100	0.89
개성	87	100	0.87
개인	84	100	0.84
개인적	78	100	0.78
객관적	78	100	0.78
거리	48	100	0.48
거실	85	100	0.85
거액	100	100	1.0
거울	100	100	1.0
거짓	100	100	1.0
거짓말	65	100	0.65
거품	100	100	1.0
걱정	98	100	0.98
건강	88	100	0.88
건너	100	100	1.0
건너편	100	100	1.0
건넌방	90	100	0.9
건물	95	100	0.95
건설	67	100	0.67
건조	87	100	0.87
건축	100	100	1.0
걷기	82	100	0.82
걸음	82	100	0.82
검사	82	100	0.82
검은색	46	100	0.46
검정색	61	100	0.61
검토	69	100	0.69
게시판	100	100	1.0
게임	100	100	1.0
겨울	100	100	1.0
겨울철	100	100	1.0
겨자	83	100	0.83
견해	98	100	0.98
결과	100	100	1.0
결과적	81	100	0.81
결국	92	100	0.92
결론	100	100	1.0
결석	100	100	1.0
결승	99	100	0.99
결심	83	100	0.83
결정	100	100	1.0
결혼	100	100	1.0
결혼식	84	100	0.84
경계	75	100	0.75
경고	77	100	0.77
경기	81	100	0.81
경기도	84	100	0.84
경기장	81	100	0.81
경력	100	100	1.0
경복궁	100	100	1.0
경비	84	100	0.84
경상도	86	100	0.86
경영	81	100	0.81
경우	88	100	0.88
경쟁	100	100	1.0
경쟁력	100	100	1.0
경제	100	100	1.0
경제력	100	100	1.0
경제적	80	100	0.8
경제학	77	100	0.77
경주	91	100	0.91
경찰	100	100	1.0
경찰관	75	100	0.75
경찰서	77	100	0.77
경치	69	100	0.69
경향	100	100	1.0
경험	100	100	1.0
계곡	100	100	1.0
계단	91	100	0.91
계란	100	100	1.0
계산	95	100	0.95
계산기	88	100	0.88
계약	87	100	0.87
계절	97	100	0.97
계좌	98	100	0.98
계층	100	100	1.0
계획	100	100	1.0
고개	100	100	1.0
고객	100	100	1.0
고교	99	100	0.99
고구려	100	100	1.0
고구마	61	100	0.61
고궁	100	100	1.0
고급	100	100	1.0
고기	84	100	0.84
고등학교	96	100	0.96
고등학생	92	100	0.92
고려	100	100	1.0
고모	77	100	0.77
고모부	88	100	0.88
고무신	87	100	0.87
고민	84	100	0.84
고생	91	100	0.91
고속	97	100	0.97
고속도로	41	100	0.41
고속버스	90	100	0.9
고양이	89	100	0.89
고장	82	100	0.82
고전	91	100	0.91
고집	100	100	1.0
고추	69	100	0.69
고추장	85	100	0.85
고춧가루	100	100	1.0
고통	98	100	0.98
고함	100	100	1.0
고향	100	100	1.0
곡식	84	100	0.84
골목	70	100	0.7
골목길	100	100	1.0
골짜기	85	100	0.85
골치	75	100	0.75
골프	76	100	0.76
골프장	75	100	0.75
곳곳	100	100	1.0
공간	72	100	0.72
공개	98	100	0.98
공격	100	100	1.0
공공	93	100	0.93
공군	100	100	1.0
공급	100	100	1.0
공기	89	100	0.89
공동	87	100	0.87
공무원	87	100	0.87
공부	89	100	0.89
공사	75	100	0.75
공식	83	100	0.83
공식적	70	100	0.7
공업	100	100	1.0
공연	90	100	0.9
공연장	75	100	0.75
공원	89	100	0.89
공장	77	100	0.77
공주	91	100	0.91
공중	90	100	0.9
공중전화	99	100	0.99
공짜	96	100	0.96
공책	98	100	0.98
공통	99	100	0.99
공통적	72	100	0.72
공통점	74	100	0.74
공포	91	100	0.91
공항	100	100	1.0
공항버스	82	100	0.82
공해	96	100	0.96
공휴일	95	100	0.95
과거	88	100	0.88
과목	69	100	0.69
과외	77	100	0.77
과일	96	100	0.96
과자	88	100	0.88
과장	81	100	0.81
과정	100	100	1.0
과제	100	100	1.0
과학	83	100	0.83
과학자	85	100	0.85
과학적	80	100	0.8
관객	100	100	1.0
