걸린시간 : 5646.5547초
사용단어	가중치	사용횟수	단어승률
가감	5	10	0.5
가감산	4	10	0.4
가게	4	10	0.4
가게문	7	10	0.7
가겟방	6	10	0.6
가격	10	10	1.0
가격결정론	7	10	0.7
가격경쟁력	4	10	0.4
가격대	3	10	0.3
가격수준	3	10	0.3
가격인상	5	10	0.5
가격자유화	5	10	0.5
가결	6	10	0.6
가계	5	10	0.5
가계대출	3	10	0.3
가계부	3	10	0.3
가계비	5	10	0.5
가곡	2	10	0.2
가공	4	10	0.4
가공업	7	10	0.7
가관	4	10	0.4
가교	6	10	0.6
가구	6	10	0.6
가구점	9	10	0.9
가극	6	10	0.6
가금	4	10	0.4
가급	4	10	0.4
가까이	4	10	0.4
가나무	3	10	0.3
가난	4	10	0.4
가난뱅이	2	10	0.2
가내	6	10	0.6
가내공업	4	10	0.4
가는소금	3	10	0.3
가늠	6	10	0.6
가능	4	10	0.4
가능성	4	10	0.4
가닥	7	10	0.7
가담	2	10	0.2
가당연유	4	10	0.4
가도	5	10	0.5
가독성	5	10	0.5
가동	6	10	0.6
가두	5	10	0.5
가두캠페인	5	10	0.5
가드	2	10	0.2
가든파티	0	10	0.0
가등	5	10	0.5
가락	7	10	0.7
가락국수	5	10	0.5
가락지	6	10	0.6
가랑이	4	10	0.4
가랑잎	5	10	0.5
가래	2	10	0.2
가래단속곳	4	10	0.4
가래톳	10	10	1.0
가랭이	8	10	0.8
가량	3	10	0.3
가례	6	10	0.6
가로	4	10	0.4
가로등	2	10	0.2
가로세로	4	10	0.4
가로수	6	10	0.6
가로줄눈	5	10	0.5
가루	3	10	0.3
가루뿌리개	7	10	0.7
가루우유	7	10	0.7
가르침	4	10	0.4
가름	6	10	0.6
가름도움줄기	4	10	0.4
가리	6	10	0.6
가리개	5	10	0.5
가리마	4	10	0.4
가마	5	10	0.5
가마니	3	10	0.3
가마니바늘	7	10	0.7
가마솥	4	10	0.4
가마우지	3	10	0.3
가망	6	10	0.6
가매장	6	10	0.6
가맹	5	10	0.5
가면	6	10	0.6
가면극	4	10	0.4
가면무	5	10	0.5
가면무도	4	10	0.4
가면무도회	2	10	0.2
가명	6	10	0.6
가묘	6	10	0.6
가무	5	10	0.5
가문	4	10	0.4
가문비나무	7	10	0.7
가물	3	10	0.3
가물치	9	10	0.9
가뭄	10	10	1.0
가뭄더위	6	10	0.6
가미	4	10	0.4
가발	6	10	0.6
가방	7	10	0.7
가변	6	10	0.6
가보	8	10	0.8
가봉	6	10	0.6
가부	7	10	0.7
가부장	6	10	0.6
가불	8	10	0.8
가사	3	10	0.3
가사노동	5	10	0.5
가사부담	7	10	0.7
가산	3	10	0.3
가상	5	10	0.5
가설	5	10	0.5
가설극장	7	10	0.7
가성	3	10	0.3
가세	3	10	0.3
가속	5	10	0.5
가속도	4	10	0.4
가솔린	7	10	0.7
가수	6	10	0.6
가스	8	10	0.8
가스계량기	5	10	0.5
가스라이터	7	10	0.7
가스레인지	6	10	0.6
가스마스크	3	10	0.3
가스스토브	4	10	0.4
가스오븐레인지	7	10	0.7
가슴	6	10	0.6
가슴근육	5	10	0.5
가슴둘레	5	10	0.5
가슴속	6	10	0.6
가슴팍	10	10	1.0
가슴패기	6	10	0.6
가습기	4	10	0.4
가시	4	10	0.4
가시덤불	3	10	0.3
가식	7	10	0.7
가신	1	10	0.1
가십	5	10	0.5
가압	4	10	0.4
가야금	4	10	0.4
가얏고	3	10	0.3
가언	8	10	0.8
가업	5	10	0.5
가연	4	10	0.4
가연성	5	10	0.5
가열	7	10	0.7
가오리	4	10	0.4
가옥	6	10	0.6
가옥대장	4	10	0.4
가외	8	10	0.8
가요	2	10	0.2
가용	8	10	0.8
가운	5	10	0.5
가운데	2	10	0.2
가운데뜰	4	10	0.4
가운데어머니	5	10	0.5
가운데창자	3	10	0.3
가위	6	10	0.6
가위다리봉사	5	10	0.5
가위다리양자	8	10	0.8
가위바위보	4	10	0.4
가위질사위	3	10	0.3
가을	5	10	0.5
가을걷이	8	10	0.8
가을나들이	4	10	0.4
가을바람	4	10	0.4
가을운동회	6	10	0.6
가을철	6	10	0.6
가을하늘	5	10	0.5
가이드	3	10	0.3
가이드북	7	10	0.7
가인	7	10	0.7
가입	5	10	0.5
가입비	6	10	0.6
가입자	6	10	0.6
가자미	6	10	0.6
가작	5	10	0.5
가장	2	10	0.2
가장이	8	10	0.8
가장자리	6	10	0.6
가장행렬	6	10	0.6
가재	2	10	0.2
가전	5	10	0.5
가전제품	5	10	0.5
가정	5	10	0.5
가정교육	5	10	0.5
가정부	3	10	0.3
가정불화	7	10	0.7
가정통신	7	10	0.7
가정통신문	5	10	0.5
가정파괴	2	10	0.2
가정파탄	4	10	0.4
가정폭력	6	10	0.6
가정환경	1	10	0.1
가제	4	10	0.4
가족	5	10	0.5
가족계획	5	10	0.5
가족공동체	6	10	0.6
가족관계	3	10	0.3
가족노동	8	10	0.8
가족농업	4	10	0.4
가족력	4	10	0.4
가족료양권	6	10	0.6
가족묘	7	10	0.7
가족법	5	10	0.5
가족사	7	10	0.7
가족사진	4	10	0.4
가족생활	3	10	0.3
가족석	2	10	0.2
가족설	6	10	0.6
가족식당	4	10	0.4
가족써클	4	10	0.4
가족여행	4	10	0.4
가족오락회	5	10	0.5
가족용	3	10	0.3
가족적	5	10	0.5
가족주의	6	10	0.6
가족주의적	4	10	0.4
가족탕	5	10	0.5
가족회	7	10	0.7
가족휴양	5	10	0.5
가족휴양각	5	10	0.5
가존	4	10	0.4
가졸업	5	10	0.5
가종	3	10	0.3
가종피	4	10	0.4
