사용단어	단어승률
가게	0.908
가격	1
가구	0.83
가까이	0.854
가난	1
가능	0.546
가능성	0.815
가로	0.518
가로등	0.805
가로수	0.901
가루	1
가르침	0.643
가뭄	1
가방	0.906
가사	0.79
가상	0.85
가수	0.918
가스	0.844
가슴	1
가슴속	0.965
가요	0.89
가운데	1
가위	0.722
가을	1
가이드	1
가입	0.82
가입자	0.829
가장	0.754
가정	0.991
가정교사	0.784
가족	1
가죽	1
가지	0.887
가짜	0.769
가치	0.696
가치관	0.711
가톨릭	1
각각	1
각국	0.934
각오	0.757
각자	0.828
각종	0.805
간격	1
간부	0.875
간섭	1
간식	0.771
간장	0.802
간접	0.656
간접적	0.733
간판	1
간호	0.791
간호사	0.772
갈등	0.811
갈비	0.836
갈비탕	1
갈색	0.495
갈증	1
감각	0.988
감기	0.855
감독	0.841
감동	0.892
감동적	0.765
감사	0.795
감상	0.843
감소	0.88
감수성	0.826
감옥	1
감자	0.841
감정	0.98
감정적	0.78
강남	0.818
강당	1
강도	0.817
강물	0.913
강변	1
강북	0.641
강사	0.764
강수량	1
강아지	0.891
강원도	0.825
강의	0.919
강제	0.982
강조	0.857
갖가지	0.907
개개인	0.83
개구리	0.494
개나리	0.521
개미	0.798
개방	0.892
개별	1
개선	0.923
개성	0.813
개인	0.82
개인적	0.76
객관적	0.749
거리	0.511
거실	0.765
거액	1
거울	1
거짓	1
거짓말	0.612
거품	1
걱정	0.983
건강	0.879
건너	1
건너편	0.985
건넌방	0.902
건물	0.918
건설	0.755
건조	0.872
건축	1
걷기	0.844
걸음	0.811
검사	0.784
검은색	0.493
검정색	0.504
검토	0.707
게시판	1
게임	1
겨울	1
겨울철	1
겨자	0.836
견해	0.968
결과	0.997
결과적	0.769
결국	0.949
결론	1
결석	1
결승	0.956
결심	0.85
결정	0.989
결혼	1
결혼식	0.771
경계	0.681
경고	0.794
경기	0.849
경기도	0.834
경기장	0.792
경력	1
경복궁	1
경비	0.829
경상도	0.832
경영	0.818
경우	0.88
경쟁	1
경쟁력	1
경제	0.984
경제력	1
경제적	0.761
경제학	0.791
경주	0.92
경찰	1
경찰관	0.709
경찰서	0.784
경치	0.673
경향	1
경험	1
계곡	1
계단	0.908
계란	1
계산	0.903
계산기	0.855
계약	0.83
계절	0.952
계좌	0.901
계층	1
계획	1
고개	0.996
고객	1
고교	0.951
고구려	1
고구마	0.663
고궁	1
고급	1
고기	0.854
고등학교	0.948
고등학생	0.887
고려	1
고모	0.812
고모부	0.874
고무신	0.932
고민	0.822
고생	0.88
고속	0.939
고속도로	0.498
고속버스	0.856
고양이	0.864
고장	0.78
고전	0.93
고집	1
고추	0.67
고추장	0.747
고춧가루	1
고통	0.953
고함	1
고향	1
곡식	0.76
골목	0.671
골목길	1
골짜기	0.844
골치	0.678
골프	0.754
골프장	0.788
곳곳	1
공간	0.803
공개	0.993
공격	1
공공	0.919
공군	1
공급	1
공기	0.831
공동	0.896
공무원	0.859
공부	0.875
공사	0.797
공식	0.777
공식적	0.768
공업	1
공연	0.931
공연장	0.767
공원	0.872
공장	0.791
공주	0.913
공중	0.893
공중전화	0.981
공짜	0.799
공책	0.985
공통	0.953
공통적	0.733
공통점	0.784
공포	0.874
공항	1
공항버스	0.856
공해	0.967
공휴일	0.938
과거	0.773
과목	0.662
과외	0.791
과일	0.93
과자	0.824
과장	0.767
과정	0.988
과제	0.983
과학	0.779
과학자	0.827
과학적	0.718
관객	1
