사용단어	가중치	사용횟수	단어승률
가감	9	20	0.45
가감산	8	20	0.4
가게	10	20	0.5
가게문	5	20	0.25
가겟방	12	20	0.6
가격	9	20	0.45
가격결정론	8	20	0.4
가격경쟁력	9	20	0.45
가격대	13	20	0.65
가격수준	9	20	0.45
가격인상	7	20	0.35
가격자유화	10	20	0.5
가결	10	20	0.5
가계	8	20	0.4
가계대출	9	20	0.45
가계부	3	20	0.15
가계비	8	20	0.4
가곡	11	20	0.55
가공	7	20	0.35
가공업	9	20	0.45
가관	8	20	0.4
가교	6	20	0.3
가구	11	20	0.55
가구점	11	20	0.55
가극	10	20	0.5
가금	7	20	0.35
가급	8	20	0.4
가까이	6	20	0.3
가나무	9	20	0.45
가난	8	20	0.4
가난뱅이	10	20	0.5
가내	9	20	0.45
가내공업	7	20	0.35
가는소금	4	20	0.2
가늠	3	20	0.15
가능	4	20	0.2
가능성	5	20	0.25
가닥	6	20	0.3
가담	8	20	0.4
가당연유	5	20	0.25
가도	5	20	0.25
가독성	10	20	0.5
가동	8	20	0.4
가두	8	20	0.4
가두캠페인	9	20	0.45
가드	11	20	0.55
가든파티	5	20	0.25
가등	9	20	0.45
가락	10	20	0.5
가락국수	6	20	0.3
가락지	7	20	0.35
가랑이	9	20	0.45
가랑잎	7	20	0.35
가래	8	20	0.4
가래단속곳	7	20	0.35
가래톳	20	20	1
가랭이	7	20	0.35
가량	6	20	0.3
가례	9	20	0.45
가로	9	20	0.45
가로등	9	20	0.45
가로세로	12	20	0.6
가로수	5	20	0.25
가로줄눈	8	20	0.4
가루	8	20	0.4
가루뿌리개	6	20	0.3
가루우유	8	20	0.4
가르침	11	20	0.55
가름	10	20	0.5
가름도움줄기	7	20	0.35
가리	8	20	0.4
가리개	8	20	0.4
가리마	9	20	0.45
가마	8	20	0.4
가마니	9	20	0.45
가마니바늘	7	20	0.35
가마솥	11	20	0.55
가마우지	7	20	0.35
가망	5	20	0.25
가매장	9	20	0.45
가맹	8	20	0.4
가면	10	20	0.5
가면극	9	20	0.45
가면무	10	20	0.5
가면무도	4	20	0.2
가면무도회	11	20	0.55
가명	7	20	0.35
가묘	9	20	0.45
가무	5	20	0.25
가문	6	20	0.3
가문비나무	10	20	0.5
가물	6	20	0.3
가물치	6	20	0.3
가뭄	20	20	1
가뭄더위	9	20	0.45
가미	11	20	0.55
가발	5	20	0.25
가방	7	20	0.35
가변	8	20	0.4
가보	11	20	0.55
가봉	4	20	0.2
가부	9	20	0.45
가부장	9	20	0.45
가불	9	20	0.45
가사	10	20	0.5
가사노동	10	20	0.5
가사부담	6	20	0.3
가산	10	20	0.5
가상	4	20	0.2
가설	8	20	0.4
가설극장	8	20	0.4
가성	8	20	0.4
가세	7	20	0.35
가속	9	20	0.45
가속도	8	20	0.4
가솔린	10	20	0.5
가수	11	20	0.55
가스	11	20	0.55
가스계량기	7	20	0.35
가스라이터	6	20	0.3
가스레인지	10	20	0.5
가스마스크	11	20	0.55
가스스토브	5	20	0.25
가스오븐레인지	13	20	0.65
가슴	13	20	0.65
가슴근육	8	20	0.4
가슴둘레	11	20	0.55
가슴속	6	20	0.3
가슴팍	20	20	1
가슴패기	8	20	0.4
가습기	11	20	0.55
가시	8	20	0.4
가시덤불	4	20	0.2
가식	8	20	0.4
가신	7	20	0.35
가십	9	20	0.45
가압	8	20	0.4
가야금	11	20	0.55
가얏고	7	20	0.35
가언	4	20	0.2
가업	8	20	0.4
가연	10	20	0.5
가연성	1	20	0.05
가열	6	20	0.3
가오리	10	20	0.5
가옥	7	20	0.35
가옥대장	7	20	0.35
가외	7	20	0.35
가요	7	20	0.35
가용	8	20	0.4
가운	8	20	0.4
가운데	9	20	0.45
가운데뜰	3	20	0.15
가운데어머니	10	20	0.5
가운데창자	4	20	0.2
가위	7	20	0.35
가위다리봉사	6	20	0.3
가위다리양자	9	20	0.45
가위바위보	10	20	0.5
가위질사위	7	20	0.35
가을	4	20	0.2
가을걷이	6	20	0.3
가을나들이	5	20	0.25
가을바람	8	20	0.4
가을운동회	11	20	0.55
가을철	11	20	0.55
가을하늘	7	20	0.35
가이드	3	20	0.15
가이드북	6	20	0.3
가인	8	20	0.4
가입	9	20	0.45
가입비	10	20	0.5
가입자	8	20	0.4
가자미	9	20	0.45
가작	5	20	0.25
가장	6	20	0.3
가장이	4	20	0.2
가장자리	9	20	0.45
가장행렬	4	20	0.2
가재	12	20	0.6
가전	6	20	0.3
가전제품	10	20	0.5
가정	6	20	0.3
가정교육	8	20	0.4
가정부	5	20	0.25
가정불화	7	20	0.35
가정통신	8	20	0.4
가정통신문	10	20	0.5
가정파괴	11	20	0.55
가정파탄	12	20	0.6
가정폭력	10	20	0.5
가정환경	8	20	0.4
가제	12	20	0.6
가족	11	20	0.55
가족계획	11	20	0.55
가족공동체	10	20	0.5
가족관계	4	20	0.2
가족노동	10	20	0.5
가족농업	11	20	0.55
가족력	4	20	0.2
가족료양권	8	20	0.4
가족묘	8	20	0.4
가족법	7	20	0.35
가족사	7	20	0.35
가족사진	10	20	0.5
가족생활	7	20	0.35
가족석	10	20	0.5
가족설	3	20	0.15
가족식당	5	20	0.25
가족써클	8	20	0.4
가족여행	9	20	0.45
가족오락회	7	20	0.35
가족용	6	20	0.3
가족적	9	20	0.45
가족주의	9	20	0.45
가족주의적	5	20	0.25
가족탕	8	20	0.4
가족회	7	20	0.35
가족휴양	7	20	0.35
가족휴양각	9	20	0.45
가존	6	20	0.3
가졸업	8	20	0.4
가종	7	20	0.35
가종피	3	20	0.15
가좌	8	20	0.4
가좌전	8	20	0.4
가좌책	12	20	0.6
가죄	4	20	0.2
가주거	4	20	0.2
가주권	7	20	0.35
가주서	8	20	0.4
가주소	6	20	0.3
가주어	9	20	0.45
가죽	7	20	0.35
가죽갈퀴지의	9	20	0.45
가죽고리	9	20	0.45
가죽광택기	8	20	0.4
가죽깍기	8	20	0.4
가죽나무	6	20	0.3
가죽나무고치나방	4	20	0.2
가죽나무껍질밤나방	8	20	0.4
가죽나무누에나방	7	20	0.35
가죽나무산누에나방	8	20	0.4
가죽단백질	6	20	0.3
가죽방패지의	11	20	0.55
가죽배	7	20	0.35
가죽붙임	11	20	0.55
가죽숫돌	9	20	0.45
가죽신	7	20	0.35
가죽옷지의	8	20	0.4
가죽위	7	20	0.35
가죽이김	11	20	0.55
가죽이김약	9	20	0.45
가죽지의	10	20	0.5
가죽집	7	20	0.35
가죽집말	3	20	0.15
가죽채	7	20	0.35
가죽피	9	20	0.45
가죽피리	6	20	0.3
가죽혁	14	20	0.7
가죽혹버섯	9	20	0.45
가중	9	20	0.45
가중감경	9	20	0.45
가중값	13	20	0.65
가중범	5	20	0.25
가중주의	8	20	0.4
가중차제	11	20	0.55
가중치	8	20	0.4
가중형	9	20	0.45
가증	10	20	0.5
가증금	8	20	0.4
가증률	8	20	0.4
가지	7	20	0.35
가지가위	8	20	0.4
가지가지	5	20	0.25
가지각색	11	20	0.55
가지개곽향	10	20	0.5
가지검댕이증	9	20	0.45
가지게	11	20	0.55
가지고르기	7	20	0.35
가지고비	10	20	0.5
가지고비고사리	10	20	0.5
가지곡정초	8	20	0.4
가지골	5	20	0.25
가지관	7	20	0.35
가지괭이눈	9	20	0.45
가지구이	5	20	0.25
가지굴	7	20	0.35
가지급	11	20	0.55
가지급금	11	20	0.55
가지기	5	20	0.25
가지기도	6	20	0.3
가지김치	8	20	0.4
가지꽂이	8	20	0.4
가지꽃지의	8	20	0.4
가지나무좀	8	20	0.4
가지나물	8	20	0.4
가지노리개	7	20	0.35
가지누름적	9	20	0.45
가지다듬기	8	20	0.4
가지더부살이	9	20	0.45
가지도	9	20	0.45
가지돌꽃	8	20	0.4
가지돌연변이	12	20	0.6
가지런할제	11	20	0.55
가지마름병	10	20	0.5
가지만지	11	20	0.55
가지말랭이	6	20	0.3
가지맥	8	20	0.4
가지모기르기	13	20	0.65
가지문	6	20	0.3
가지물길	7	20	0.35
가지바늘	11	20	0.55
가지번호	9	20	0.45
가지별꽃	10	20	0.5
가지복수초	5	20	0.25
가지불	8	20	0.4
가지비틀기	6	20	0.3
가지뽕	7	20	0.35
가지뽕누에치기	6	20	0.3
가지뽕따기	7	20	0.35
가지뿌리	8	20	0.4
가지뿔들양	4	20	0.2
가지산꽃다지	8	20	0.4
가지산문	8	20	0.4
가지산적	8	20	0.4
가지산파	8	20	0.4
가지삿갓사초	4	20	0.2
가지색	8	20	0.4
가지솎음	7	20	0.35
가지송라	9	20	0.45
가지송이풀	8	20	0.4
가지신	5	20	0.25
가지실말	12	20	0.6
가지역병	6	20	0.3
가지자르기	12	20	0.6
가지장아찌	10	20	0.5
가지적	7	20	0.35
가지전	9	20	0.45
가지절임	9	20	0.45
가지조이기	10	20	0.5
가지줄	8	20	0.4
가지짠지	8	20	0.4
가지찜	10	20	0.5
가지찬국	7	20	0.35
가지창	9	20	0.45
가지치기	9	20	0.45
가지톱	6	20	0.3
가지페	6	20	0.3
가지회	10	20	0.5
가지휘여주기	7	20	0.35
가지흑고병	7	20	0.35
가직	8	20	0.4
가진대이름씨	7	20	0.35
가진월	6	20	0.3
가질	9	20	0.45
가짐	8	20	0.4
가짐새	8	20	0.4
가집	11	20	0.55
가집장	7	20	0.35
가집행	8	20	0.4
가짓과	8	20	0.4
가짓말	5	20	0.25
가짓말쟁이	5	20	0.25
가짓부렁	20	20	1
가짓부렁이	8	20	0.4
가짓빛	7	20	0.35
가짓수	9	20	0.45
가짓잎괭이	9	20	0.45
가짓잎쌈	7	20	0.35
가짓줄	7	20	0.35
가징	5	20	0.25
가짜	5	20	0.25
가짜결핵	5	20	0.25
가짜도하장	4	20	0.2
가짜동자	7	20	0.35
가짜동지	4	20	0.2
가짜목소리	6	20	0.3
가짜미끼	11	20	0.55
가짜미친개병	4	20	0.2
가짜배기	9	20	0.45
가짜속살	8	20	0.4
가짜송진홈	3	20	0.15
가짜어사	6	20	0.3
가짜줄기	8	20	0.4
가짜풍	9	20	0.45
가쪽복사	7	20	0.35
가차	7	20	0.35
가차사	7	20	0.35
가차압	7	20	0.35
가차자	5	20	0.25
가차하	8	20	0.4
가착	9	20	0.45
가찬	7	20	0.35
가찰	7	20	0.35
가창	8	20	0.4
가창대	7	20	0.35
가창력	3	20	0.15
가창법	9	20	0.45
가창시위	11	20	0.55
가창오리	7	20	0.35
가창행진	11	20	0.55
가채	9	20	0.45
가채권	9	20	0.45
가책	13	20	0.65
가처분	7	20	0.35
가천	7	20	0.35
가철	8	20	0.4
가철본	5	20	0.25
가첨	8	20	0.4
가첨문서	5	20	0.25
가첨밥	11	20	0.55
가첨잠	12	20	0.6
가첩	8	20	0.4
가청	4	20	0.2
가청도	10	20	0.5
가청음	7	20	0.35
가체	7	20	0.35
가체포	11	20	0.55
가체포장	7	20	0.35
가초노	7	20	0.35
가촉	8	20	0.4
가촌	10	20	0.5
가추	4	20	0.2
가추렴	11	20	0.55
가축	4	20	0.2
가축농	14	20	0.7
